2022-07-20 07:00:07.444:   ITEM[ram_stress] - FUNCTION[TelnetReadUntilKeyProxy]
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:13:26(UTC) Log: Seconds remaining: 140
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:13:36(UTC) Log: Seconds remaining: 130
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:13:46(UTC) Log: Seconds remaining: 120
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:13:56(UTC) Log: Seconds remaining: 110
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:14:06(UTC) Log: Seconds remaining: 100
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:14:16(UTC) Log: Seconds remaining: 90
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:14:26(UTC) Log: Seconds remaining: 80
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:14:36(UTC) Log: Seconds remaining: 70
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:14:46(UTC) Log: Seconds remaining: 60
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:14:56(UTC) Log: Seconds remaining: 50
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:06(UTC) Log: Seconds remaining: 40
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:16(UTC) Log: Seconds remaining: 30
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:26(UTC) Log: Seconds remaining: 20
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:36(UTC) Log: Seconds remaining: 10
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Joining worker threads
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Joining thread 1
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Completed 2: Copy thread. Status 1, 147269 pages copied
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Completed 1: Copy thread. Status 1, 138752 pages copied
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Stats: CC Thread(0): Time=600033699 us, Increments=363624000, Increments/sec = 606005.963675
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Joining thread 2
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Stats: CC Thread(1): Time=600045921 us, Increments=376740000, Increments/sec = 627851.947351
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Joining thread 0
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Finished CPU Cache Coherency thread 0:
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Finished CPU Cache Coherency thread 1:
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Finished system error poll thread 0: 1421453980 errors
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Joining thread 3
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Joining thread 4
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log:  Reads per page histogram
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log:           512 -         1024:          299
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log:          1024 -         2048:            1
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Finished countdown, begin to result check
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Finished countdown, begin to result check
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Finished countdown, begin to result check
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Finished countdown, begin to result check
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Finished countdown, begin to result check
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Finished countdown, begin to result check
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Finished countdown, begin to result check
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Finished countdown, begin to result check
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Finished countdown, begin to result check
2022-07-20 07:22:05.389:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Spawning thread 5
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Spawning thread 6
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 5 running on core ID 1 mask 3 (3).
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Spawning thread 7
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Starting Check thread 5
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Spawning thread 8
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Spawning thread 9
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Spawning thread 10
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 7 running on core ID 1 mask 3 (3).
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 6 running on core ID 0 mask 3 (3).
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Starting Check thread 6
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Starting Check thread 7
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 10 running on core ID 0 mask 3 (3).
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Starting Check thread 10
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Spawning thread 11
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Spawning thread 12
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Joining thread 5
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 9 running on core ID 0 mask 3 (3).
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Starting Check thread 9
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 11 running on core ID 1 mask 3 (3).
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Starting Check thread 11
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 12 running on core ID 1 mask 3 (3).
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Starting Check thread 12
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 8 running on core ID 0 mask 3 (3).
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Starting Check thread 8
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Completed 9: Check thread. Status 1, 23 pages checked
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Completed 8: Check thread. Status 1, 20 pages checked
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Completed 11: Check thread. Status 1, 18 pages checked
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Completed 5: Check thread. Status 1, 26 pages checked
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Completed 7: Check thread. Status 1, 23 pages checked
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Joining thread 6
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Completed 6: Check thread. Status 1, 25 pages checked
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Completed 12: Check thread. Status 1, 18 pages checked
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Joining thread 7
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Joining thread 8
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Joining thread 9
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Joining thread 10
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Completed 10: Check thread. Status 1, 27 pages checked
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Joining thread 11
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Joining thread 12
2022-07-20 07:22:05.390:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Join all outstanding threads
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Reaping thread status 1
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 1 found 0 hardware incidents
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Reaping thread status 2
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 2 found 0 hardware incidents
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Reaping thread status 0
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 0 found 0 hardware incidents
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Reaping thread status 3
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 3 found 0 hardware incidents
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Reaping thread status 4
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 4 found 0 hardware incidents
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Reaping thread status 5
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 5 found 0 hardware incidents
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Reaping thread status 6
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 6 found 0 hardware incidents
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Reaping thread status 7
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 7 found 0 hardware incidents
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Reaping thread status 8
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 8 found 0 hardware incidents
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Reaping thread status 9
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 9 found 0 hardware incidents
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Reaping thread status 10
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 10 found 0 hardware incidents
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Reaping thread status 11
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 11 found 0 hardware incidents
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Reaping thread status 12
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Thread 12 found 0 hardware incidents
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Stats: Found 0 hardware incidents
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Stats: Completed: 572042.00M in 600.08s 953.28MB/s, with 0 hardware incidents, 0 errors
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Stats: Memory Copy: 572042.00M at 953.33MB/s
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Stats: File Copy: 0.00M at 0.00MB/s
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Stats: Net Copy: 0.00M at 0.00MB/s
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Stats: Data Check: 0.00M at 0.00MB/s
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Stats: Invert Data: 0.00M at 0.00MB/s
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Stats: Disk: 0.00M at 0.00MB/s
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Deleting worker threads
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Deleting thread 1
2022-07-20 07:22:05.391:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Deleting thread 2
2022-07-20 07:22:05.392:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Deleting thread 0
2022-07-20 07:22:05.392:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Deleting thread 3
2022-07-20 07:22:05.392:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Deleting thread 4
2022-07-20 07:22:05.392:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Destroying WorkerStatus objects
2022-07-20 07:22:05.392:   [Telnet] 2021/11/18-06:15:46(UTC) Log: Uninstalling signal handlers
2022-07-20 07:22:05.392:   [Telnet] 2021/11/18-06:15:46(UTC)
2022-07-20 07:22:05.392:   [Telnet] 2021/11/18-06:15:46(UTC) Status: PASS - please verify no corrected errors
2022-07-20 07:22:05.392:   [CONFIG] Spec: "Status: PASS - please verify no corrected errors"
2022-07-20 07:22:05.392:   [Config] Waiting for about1000 s
2022-07-20 07:22:05.392:   [Telnet] Send command: stressapptest -s 600 -f /tmp/file1 -f /tmp/file2 -M 100 -l test_ddr_03.log
2022-07-20 07:32:05.984:   [Telnet] stressapptest -s 600 -f /tmp/file1 -f /tmp/file2 -M 100 -l tes
2022-07-20 07:32:05.984:   [Telnet] t_ddr_03.log
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:15:47(UTC) Log: Commandline - stressapptest -s 600 -f /tmp/file1 -f /tmp/file2 -M 100 -l test_ddr_03.log
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:15:47(UTC) Stats: SAT revision 1.0.7_autoconf, 32 bit binary
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:15:47(UTC) Log: adrian @ ubuntu-16-RD on Thu Nov 18 12:07:07 CST 2021 from open source release
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:15:47(UTC) Log: 1 nodes, 2 cpus.
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:15:47(UTC) Log: Defaulting to 2 copy threads
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:15:47(UTC) Log: Flooring memory allocation to multiple of 4: 100MB
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:15:47(UTC) Log: Prefer plain malloc memory allocation.
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:15:47(UTC) Log: Using mmap() allocation at 0x709b3000.
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:15:47(UTC) Stats: Starting SAT, 100M, 600 seconds
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:15:47(UTC) Log: Region mask: 0x1
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:15:57(UTC) Log: Seconds remaining: 590
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:16:07(UTC) Log: Seconds remaining: 580
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:16:17(UTC) Log: Seconds remaining: 570
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:16:27(UTC) Log: Seconds remaining: 560
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:16:37(UTC) Log: Seconds remaining: 550
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:16:47(UTC) Log: Seconds remaining: 540
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:16:57(UTC) Log: Seconds remaining: 530
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:17:07(UTC) Log: Seconds remaining: 520
2022-07-20 07:32:05.984:   [Telnet] 2021/11/18-06:17:17(UTC) Log: Seconds remaining: 510
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:17:27(UTC) Log: Seconds remaining: 500
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:17:37(UTC) Log: Seconds remaining: 490
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:17:47(UTC) Log: Seconds remaining: 480
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:17:57(UTC) Log: Seconds remaining: 470
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:18:07(UTC) Log: Seconds remaining: 460
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:18:17(UTC) Log: Seconds remaining: 450
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:18:27(UTC) Log: Seconds remaining: 440
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:18:37(UTC) Log: Seconds remaining: 430
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:18:47(UTC) Log: Seconds remaining: 420
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:18:57(UTC) Log: Seconds remaining: 410
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:19:07(UTC) Log: Seconds remaining: 400
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:19:17(UTC) Log: Seconds remaining: 390
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:19:27(UTC) Log: Seconds remaining: 380
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:19:37(UTC) Log: Seconds remaining: 370
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:19:47(UTC) Log: Seconds remaining: 360
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:19:57(UTC) Log: Seconds remaining: 350
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:20:07(UTC) Log: Seconds remaining: 340
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:20:17(UTC) Log: Seconds remaining: 330
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:20:27(UTC) Log: Seconds remaining: 320
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:20:37(UTC) Log: Seconds remaining: 310
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:20:47(UTC) Log: Seconds remaining: 300
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:20:57(UTC) Log: Seconds remaining: 290
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:21:07(UTC) Log: Seconds remaining: 280
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:21:17(UTC) Log: Seconds remaining: 270
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:21:27(UTC) Log: Seconds remaining: 260
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:21:37(UTC) Log: Seconds remaining: 250
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:21:47(UTC) Log: Seconds remaining: 240
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:21:57(UTC) Log: Seconds remaining: 230
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:22:07(UTC) Log: Seconds remaining: 220
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:22:17(UTC) Log: Seconds remaining: 210
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:22:27(UTC) Log: Seconds remaining: 200
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:22:37(UTC) Log: Seconds remaining: 190
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:22:47(UTC) Log: Seconds remaining: 180
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:22:57(UTC) Log: Seconds remaining: 170
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:23:07(UTC) Log: Seconds remaining: 160
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:23:17(UTC) Log: Seconds remaining: 150
2022-07-20 07:32:05.985:   [Telnet] 2021/11/18-06:23:27(UTC) Log: Seconds remaining: 140
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:23:37(UTC) Log: Seconds remaining: 130
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:23:47(UTC) Log: Seconds remaining: 120
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:23:57(UTC) Log: Seconds remaining: 110
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:24:07(UTC) Log: Seconds remaining: 100
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:24:17(UTC) Log: Seconds remaining: 90
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:24:27(UTC) Log: Seconds remaining: 80
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:24:37(UTC) Log: Seconds remaining: 70
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:24:47(UTC) Log: Seconds remaining: 60
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:24:57(UTC) Log: Seconds remaining: 50
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:25:07(UTC) Log: Seconds remaining: 40
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:25:17(UTC) Log: Seconds remaining: 30
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:25:27(UTC) Log: Seconds remaining: 20
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:25:37(UTC) Log: Seconds remaining: 10
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:25:47(UTC) Stats: Found 0 hardware incidents
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:25:47(UTC) Stats: Completed: 628704.00M in 600.15s 1047.58MB/s, with 0 hardware incidents, 0 errors
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:25:47(UTC) Stats: Memory Copy: 527584.00M at 879.21MB/s
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:25:47(UTC) Stats: File Copy: 101120.00M at 168.51MB/s
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:25:47(UTC) Stats: Net Copy: 0.00M at 0.00MB/s
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:25:47(UTC) Stats: Data Check: 0.00M at 0.00MB/s
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:25:47(UTC) Stats: Invert Data: 0.00M at 0.00MB/s
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:25:47(UTC) Stats: Disk: 0.00M at 0.00MB/s
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:25:47(UTC)
2022-07-20 07:32:05.986:   [Telnet] 2021/11/18-06:25:47(UTC) Status: PASS - please verify no corrected errors
2022-07-20 07:32:05.986:   [CONFIG] Spec: "Status: PASS - please verify no corrected errors"
2022-07-20 07:32:05.986:   ****************************************************
2022-07-20 07:32:05.986:   Limit type: "BOOL"
2022-07-20 07:32:05.987:   Uper limit: ""
2022-07-20 07:32:05.987:   Lowet limit: ""
2022-07-20 07:32:05.987:   Test Value: "passed"
2022-07-20 07:32:05.987:   Item name: RAM_STRESS
2022-07-20 07:32:05.987:   ****************************************************
2022-07-20 07:32:05.987:   TIME[1918.542 s] - STATUS[PASSED]
