2022-07-21 06:33:35.166:   ITEM[reboot_soft] - FUNCTION[RebootSoftProxy]
2022-07-21 06:35:51.819:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:35:51.819:   [Cmd] Request timed out.
2022-07-21 06:35:51.819:   [Cmd] 
2022-07-21 06:35:51.819:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:35:51.819:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:35:51.819:   [Cmd] ------------------------------------
2022-07-21 06:35:51.819:   [Cmd] ------------------------------------
2022-07-21 06:35:51.819:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:35:55.827:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:35:55.827:   [Cmd] Request timed out.
2022-07-21 06:35:55.827:   [Cmd] 
2022-07-21 06:35:55.827:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:35:55.827:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:35:55.827:   [Cmd] ------------------------------------
2022-07-21 06:35:55.827:   [Cmd] ------------------------------------
2022-07-21 06:35:55.828:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:35:59.825:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:35:59.825:   [Cmd] Request timed out.
2022-07-21 06:35:59.825:   [Cmd] 
2022-07-21 06:35:59.825:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:35:59.825:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:35:59.825:   [Cmd] ------------------------------------
2022-07-21 06:35:59.826:   [Cmd] ------------------------------------
2022-07-21 06:35:59.826:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:36:03.825:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:36:03.825:   [Cmd] Request timed out.
2022-07-21 06:36:03.825:   [Cmd] 
2022-07-21 06:36:03.825:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:36:03.825:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:36:03.826:   [Cmd] ------------------------------------
2022-07-21 06:36:03.826:   [Cmd] ------------------------------------
2022-07-21 06:36:03.826:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:36:07.814:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:36:07.814:   [Cmd] Request timed out.
2022-07-21 06:36:07.814:   [Cmd] 
2022-07-21 06:36:07.814:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:36:07.814:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:36:07.814:   [Cmd] ------------------------------------
2022-07-21 06:36:07.814:   [Cmd] ------------------------------------
2022-07-21 06:36:07.814:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:36:11.820:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:36:11.820:   [Cmd] Request timed out.
2022-07-21 06:36:11.820:   [Cmd] 
2022-07-21 06:36:11.820:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:36:11.820:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:36:11.820:   [Cmd] ------------------------------------
2022-07-21 06:36:11.820:   [Cmd] ------------------------------------
2022-07-21 06:36:11.820:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:36:15.822:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:36:15.822:   [Cmd] Request timed out.
2022-07-21 06:36:15.822:   [Cmd] 
2022-07-21 06:36:15.822:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:36:15.823:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:36:15.823:   [Cmd] ------------------------------------
2022-07-21 06:36:15.823:   [Cmd] ------------------------------------
2022-07-21 06:36:15.823:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:36:19.824:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:36:19.824:   [Cmd] Request timed out.
2022-07-21 06:36:19.824:   [Cmd] 
2022-07-21 06:36:19.825:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:36:19.825:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:36:19.825:   [Cmd] ------------------------------------
2022-07-21 06:36:19.825:   [Cmd] ------------------------------------
2022-07-21 06:36:19.825:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:36:23.817:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:36:23.817:   [Cmd] Request timed out.
2022-07-21 06:36:23.817:   [Cmd] 
2022-07-21 06:36:23.817:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:36:23.817:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:36:23.817:   [Cmd] ------------------------------------
2022-07-21 06:36:23.817:   [Cmd] ------------------------------------
2022-07-21 06:36:23.817:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:36:27.828:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:36:27.828:   [Cmd] Request timed out.
2022-07-21 06:36:27.828:   [Cmd] 
2022-07-21 06:36:27.828:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:36:27.828:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:36:27.828:   [Cmd] ------------------------------------
2022-07-21 06:36:27.828:   [Cmd] ------------------------------------
2022-07-21 06:36:27.829:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:36:31.834:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:36:31.834:   [Cmd] Request timed out.
2022-07-21 06:36:31.834:   [Cmd] 
2022-07-21 06:36:31.834:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:36:31.834:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:36:31.834:   [Cmd] ------------------------------------
2022-07-21 06:36:31.834:   [Cmd] ------------------------------------
2022-07-21 06:36:31.835:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:36:35.829:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:36:35.829:   [Cmd] Request timed out.
2022-07-21 06:36:35.830:   [Cmd] 
2022-07-21 06:36:35.830:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:36:35.830:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:36:35.830:   [Cmd] ------------------------------------
2022-07-21 06:36:35.830:   [Cmd] ------------------------------------
2022-07-21 06:36:35.830:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:36:39.829:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:36:39.829:   [Cmd] Request timed out.
2022-07-21 06:36:39.829:   [Cmd] 
2022-07-21 06:36:39.829:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:36:39.830:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:36:39.830:   [Cmd] ------------------------------------
2022-07-21 06:36:39.830:   [Cmd] ------------------------------------
2022-07-21 06:36:39.830:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:36:43.815:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:36:43.815:   [Cmd] Request timed out.
2022-07-21 06:36:43.815:   [Cmd] 
2022-07-21 06:36:43.815:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:36:43.815:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:36:43.815:   [Cmd] ------------------------------------
2022-07-21 06:36:43.815:   [Cmd] ------------------------------------
2022-07-21 06:36:43.815:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:36:47.826:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:36:47.826:   [Cmd] Request timed out.
2022-07-21 06:36:47.826:   [Cmd] 
2022-07-21 06:36:47.826:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:36:47.826:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:36:47.827:   [Cmd] ------------------------------------
2022-07-21 06:36:47.827:   [Cmd] ------------------------------------
2022-07-21 06:36:47.827:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:36:47.901:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:36:47.902:   [Cmd] Reply from 172.168.1.0: bytes=32 time<1ms TTL=64
2022-07-21 06:36:47.902:   [Cmd] 
2022-07-21 06:36:47.902:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:36:47.902:   [Cmd] Packets: Sent = 1, Received = 1, Lost = 0 (0% loss),
2022-07-21 06:36:47.902:   [Cmd] Approximate round trip times in milli-seconds:
2022-07-21 06:36:47.902:   [Cmd] Minimum = 0ms, Maximum = 0ms, Average = 0ms
2022-07-21 06:36:47.902:   [Cmd] ------------------------------------
2022-07-21 06:36:47.902:   cycle Times: 3 - 3
2022-07-21 06:36:47.902:   [Telnet] Connect to host: 172.168.1.0
2022-07-21 06:36:47.902:   [Telnet] Port is: 23
2022-07-21 06:36:47.902:   [Cmd] ------------------------------------
2022-07-21 06:36:47.902:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:36:47.949:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:36:47.950:   [Cmd] Reply from 172.168.1.0: bytes=32 time<1ms TTL=64
2022-07-21 06:36:47.950:   [Cmd] 
2022-07-21 06:36:47.950:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:36:47.950:   [Cmd] Packets: Sent = 1, Received = 1, Lost = 0 (0% loss),
2022-07-21 06:36:47.950:   [Cmd] Approximate round trip times in milli-seconds:
2022-07-21 06:36:47.950:   [Cmd] Minimum = 0ms, Maximum = 0ms, Average = 0ms
2022-07-21 06:36:47.950:   [Cmd] ------------------------------------
2022-07-21 06:36:48.272:   [Telnet] 
2022-07-21 06:36:48.272:   [Telnet] === IMPORTANT ============================
2022-07-21 06:36:48.272:   [Telnet] Use 'passwd' to set your login password!
2022-07-21 06:36:48.272:   [Telnet] ------------------------------------------
2022-07-21 06:36:48.272:   [Telnet] 
2022-07-21 06:36:48.272:   [Telnet] 
2022-07-21 06:36:48.272:   [Telnet] BusyBox v1.30.1 () built-in shell (ash)
2022-07-21 06:36:48.272:   [Telnet] 
2022-07-21 06:36:48.272:   [Telnet] MM           NM                    MMMMMMM          M       M
2022-07-21 06:36:48.272:   [Telnet] $MMMMM        MMMMM                MMMMMMMMMMM      MMM     MMM
2022-07-21 06:36:48.272:   [Telnet] MMMMMMMM     MM MMMMM.              MMMMM:MMMMMM:   MMMM   MMMMM
2022-07-21 06:36:48.272:   [Telnet] MMMM= MMMMMM  MMM   MMMM       MMMMM   MMMM  MMMMMM   MMMM  MMMMM'
2022-07-21 06:36:48.272:   [Telnet] MMMM=  MMMMM MMMM    MM       MMMMM    MMMM    MMMM   MMMMNMMMMM
2022-07-21 06:36:48.272:   [Telnet] MMMM=   MMMM  MMMMM          MMMMM     MMMM    MMMM   MMMMMMMM
2022-07-21 06:36:48.272:   [Telnet] MMMM=   MMMM   MMMMMM       MMMMM      MMMM    MMMM   MMMMMMMMM
2022-07-21 06:36:48.272:   [Telnet] MMMM=   MMMM     MMMMM,    NMMMMMMMM   MMMM    MMMM   MMMMMMMMMMM
2022-07-21 06:36:48.272:   [Telnet] MMMM=   MMMM      MMMMMM   MMMMMMMM    MMMM    MMMM   MMMM  MMMMMM
2022-07-21 06:36:48.272:   [Telnet] MMMM=   MMMM   MM    MMMM    MMMM      MMMM    MMMM   MMMM    MMMM
2022-07-21 06:36:48.272:   [Telnet] MMMM$ ,MMMMM  MMMMM  MMMM    MMM       MMMM   MMMMM   MMMM    MMMM
2022-07-21 06:36:48.272:   [Telnet] MMMMMMM:      MMMMMMM     M         MMMMMMMMMMMM  MMMMMMM MMMMMMM
2022-07-21 06:36:48.272:   [Telnet] MMMMMM       MMMMN     M           MMMMMMMMM      MMMM    MMMM
2022-07-21 06:36:48.272:   [Telnet] MMMM          M                    MMMMMMM        M       M
2022-07-21 06:36:48.272:   [Telnet] M
2022-07-21 06:36:48.273:   [Telnet] ---------------------------------------------------------------
2022-07-21 06:36:48.273:   [Telnet] For those about to rock... (Chaos Calmer, unknown)
2022-07-21 06:36:48.273:   [Telnet] ---------------------------------------------------------------
2022-07-21 06:36:48.273:   [Telnet] root@eero-test:/#
2022-07-21 06:36:48.273:   [Telnet] send reboot...
2022-07-21 06:36:48.273:   [Telnet] Send command: reboot
2022-07-21 06:36:51.335:   [Telnet] reboot
2022-07-21 06:36:51.335:   [Telnet] root@eero-test:/#
2022-07-21 06:36:51.335:   [Cmd] ------------------------------------
2022-07-21 06:36:51.335:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:36:55.324:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:36:55.324:   [Cmd] Request timed out.
2022-07-21 06:36:55.324:   [Cmd] 
2022-07-21 06:36:55.324:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:36:55.324:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:36:55.324:   [Cmd] ------------------------------------
2022-07-21 06:36:55.324:   [Telnet] Reboot ok!
2022-07-21 06:36:55.324:   [Cmd] ------------------------------------
2022-07-21 06:36:55.324:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:36:59.327:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:36:59.327:   [Cmd] Request timed out.
2022-07-21 06:36:59.327:   [Cmd] 
2022-07-21 06:36:59.327:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:36:59.327:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:36:59.327:   [Cmd] ------------------------------------
2022-07-21 06:36:59.327:   [Cmd] ------------------------------------
2022-07-21 06:36:59.327:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:37:03.319:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:37:03.319:   [Cmd] Request timed out.
2022-07-21 06:37:03.319:   [Cmd] 
2022-07-21 06:37:03.319:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:37:03.319:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:37:03.319:   [Cmd] ------------------------------------
2022-07-21 06:37:03.319:   [Cmd] ------------------------------------
2022-07-21 06:37:03.319:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:37:07.327:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:37:07.327:   [Cmd] Request timed out.
2022-07-21 06:37:07.328:   [Cmd] 
2022-07-21 06:37:07.328:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:37:07.328:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:37:07.328:   [Cmd] ------------------------------------
2022-07-21 06:37:07.328:   [Cmd] ------------------------------------
2022-07-21 06:37:07.328:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:37:11.325:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:37:11.325:   [Cmd] Request timed out.
2022-07-21 06:37:11.325:   [Cmd] 
2022-07-21 06:37:11.325:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:37:11.325:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:37:11.325:   [Cmd] ------------------------------------
2022-07-21 06:37:11.325:   [Cmd] ------------------------------------
2022-07-21 06:37:11.325:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:37:15.323:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:37:15.323:   [Cmd] Request timed out.
2022-07-21 06:37:15.323:   [Cmd] 
2022-07-21 06:37:15.323:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:37:15.323:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:37:15.323:   [Cmd] ------------------------------------
2022-07-21 06:37:15.323:   [Cmd] ------------------------------------
2022-07-21 06:37:15.323:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:37:19.326:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:37:19.326:   [Cmd] Request timed out.
2022-07-21 06:37:19.326:   [Cmd] 
2022-07-21 06:37:19.326:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:37:19.326:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:37:19.326:   [Cmd] ------------------------------------
2022-07-21 06:37:19.326:   [Cmd] ------------------------------------
2022-07-21 06:37:19.326:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:37:22.329:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:37:22.330:   [Cmd] Reply from 172.168.1.254: Destination host unreachable.
2022-07-21 06:37:22.330:   [Cmd] 
2022-07-21 06:37:22.330:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:37:22.330:   [Cmd] Packets: Sent = 1, Received = 1, Lost = 0 (0% loss),
2022-07-21 06:37:22.330:   [Cmd] ------------------------------------
2022-07-21 06:37:22.330:   [Cmd] ------------------------------------
2022-07-21 06:37:22.330:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:37:26.326:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:37:26.326:   [Cmd] Request timed out.
2022-07-21 06:37:26.326:   [Cmd] 
2022-07-21 06:37:26.326:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:37:26.326:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:37:26.326:   [Cmd] ------------------------------------
2022-07-21 06:37:26.326:   [Cmd] ------------------------------------
2022-07-21 06:37:26.327:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:37:30.330:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:37:30.330:   [Cmd] Request timed out.
2022-07-21 06:37:30.330:   [Cmd] 
2022-07-21 06:37:30.330:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:37:30.330:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:37:30.331:   [Cmd] ------------------------------------
2022-07-21 06:37:30.331:   [Cmd] ------------------------------------
2022-07-21 06:37:30.331:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:37:34.326:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:37:34.326:   [Cmd] Request timed out.
2022-07-21 06:37:34.326:   [Cmd] 
2022-07-21 06:37:34.326:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:37:34.326:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:37:34.326:   [Cmd] ------------------------------------
2022-07-21 06:37:34.326:   [Cmd] ------------------------------------
2022-07-21 06:37:34.327:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:37:38.320:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:37:38.320:   [Cmd] Request timed out.
2022-07-21 06:37:38.320:   [Cmd] 
2022-07-21 06:37:38.321:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:37:38.321:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:37:38.321:   [Cmd] ------------------------------------
2022-07-21 06:37:38.321:   [Cmd] ------------------------------------
2022-07-21 06:37:38.321:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:37:42.321:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:37:42.321:   [Cmd] Request timed out.
2022-07-21 06:37:42.321:   [Cmd] 
2022-07-21 06:37:42.321:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:37:42.321:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:37:42.321:   [Cmd] ------------------------------------
2022-07-21 06:37:42.321:   [Cmd] ------------------------------------
2022-07-21 06:37:42.322:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:37:46.326:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:37:46.326:   [Cmd] Request timed out.
2022-07-21 06:37:46.326:   [Cmd] 
2022-07-21 06:37:46.326:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:37:46.326:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:37:46.326:   [Cmd] ------------------------------------
2022-07-21 06:37:46.326:   [Cmd] ------------------------------------
2022-07-21 06:37:46.327:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:37:50.335:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:37:50.335:   [Cmd] Request timed out.
2022-07-21 06:37:50.335:   [Cmd] 
2022-07-21 06:37:50.335:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:37:50.335:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:37:50.336:   [Cmd] ------------------------------------
2022-07-21 06:37:50.336:   [Cmd] ------------------------------------
2022-07-21 06:37:50.336:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:37:54.323:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:37:54.323:   [Cmd] Request timed out.
2022-07-21 06:37:54.323:   [Cmd] 
2022-07-21 06:37:54.323:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:37:54.323:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:37:54.323:   [Cmd] ------------------------------------
2022-07-21 06:37:54.323:   [Cmd] ------------------------------------
2022-07-21 06:37:54.323:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:37:58.315:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:37:58.315:   [Cmd] Request timed out.
2022-07-21 06:37:58.315:   [Cmd] 
2022-07-21 06:37:58.315:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:37:58.315:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:37:58.315:   [Cmd] ------------------------------------
2022-07-21 06:37:58.315:   [Cmd] ------------------------------------
2022-07-21 06:37:58.315:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:38:02.320:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:38:02.320:   [Cmd] Request timed out.
2022-07-21 06:38:02.320:   [Cmd] 
2022-07-21 06:38:02.320:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:38:02.320:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:38:02.320:   [Cmd] ------------------------------------
2022-07-21 06:38:02.320:   [Cmd] ------------------------------------
2022-07-21 06:38:02.320:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:38:06.324:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:38:06.324:   [Cmd] Request timed out.
2022-07-21 06:38:06.324:   [Cmd] 
2022-07-21 06:38:06.324:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:38:06.324:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:38:06.324:   [Cmd] ------------------------------------
2022-07-21 06:38:06.324:   [Cmd] ------------------------------------
2022-07-21 06:38:06.324:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:38:10.330:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:38:10.330:   [Cmd] Request timed out.
2022-07-21 06:38:10.330:   [Cmd] 
2022-07-21 06:38:10.330:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:38:10.330:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:38:10.330:   [Cmd] ------------------------------------
2022-07-21 06:38:10.330:   [Cmd] ------------------------------------
2022-07-21 06:38:10.330:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:38:14.329:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:38:14.329:   [Cmd] Request timed out.
2022-07-21 06:38:14.330:   [Cmd] 
2022-07-21 06:38:14.330:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:38:14.330:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:38:14.330:   [Cmd] ------------------------------------
2022-07-21 06:38:14.330:   [Cmd] ------------------------------------
2022-07-21 06:38:14.330:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:38:18.316:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:38:18.316:   [Cmd] Request timed out.
2022-07-21 06:38:18.316:   [Cmd] 
2022-07-21 06:38:18.316:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:38:18.316:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:38:18.316:   [Cmd] ------------------------------------
2022-07-21 06:38:18.316:   [Cmd] ------------------------------------
2022-07-21 06:38:18.316:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:38:22.326:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:38:22.326:   [Cmd] Request timed out.
2022-07-21 06:38:22.326:   [Cmd] 
2022-07-21 06:38:22.327:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:38:22.327:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:38:22.327:   [Cmd] ------------------------------------
2022-07-21 06:38:22.327:   [Cmd] ------------------------------------
2022-07-21 06:38:22.327:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:38:22.402:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:38:22.403:   [Cmd] Reply from 172.168.1.0: bytes=32 time<1ms TTL=64
2022-07-21 06:38:22.403:   [Cmd] 
2022-07-21 06:38:22.403:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:38:22.403:   [Cmd] Packets: Sent = 1, Received = 1, Lost = 0 (0% loss),
2022-07-21 06:38:22.403:   [Cmd] Approximate round trip times in milli-seconds:
2022-07-21 06:38:22.403:   [Cmd] Minimum = 0ms, Maximum = 0ms, Average = 0ms
2022-07-21 06:38:22.403:   [Cmd] ------------------------------------
2022-07-21 06:38:22.403:   ****************************************************
2022-07-21 06:38:22.403:   Limit type: "BOOL"
2022-07-21 06:38:22.403:   Uper limit: ""
2022-07-21 06:38:22.403:   Lowet limit: ""
